,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,
Subject: Transport,,,,,,,,,,,
Topic: Land Transport (including MRT and LRT),,,,,,,,,,,
"Table Title: Causes Of Accidents By Severity Of Injury Sustained, Annual",,,,,,,,,,,
,,,,,,,,,,,
Data last updated: 10/04/2023,,,,,,,,,,,
Source: SINGAPORE POLICE FORCE,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,Number
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 
"Fatal Accidents Attributed To Drivers, Riders Or Cyclists",94,99,86,114,96,94,117,139,139,161,175
  Changing Lane Without Due Care,4,2,1,5,2,3,4,6,4,53,6
  Disobeying Traffic Light Signals Resulting In Accident With Vehicle,0,1,2,1,3,1,3,2,4,38,9
  Driving Under The Influence Of Alcohol,8,5,13,7,8,10,2,1,1,15,3
  Failing To Give Way To Traffic With Right Of Way,7,7,12,8,4,1,8,6,14,7,9
  Failing To Have Proper Control,18,33,25,35,23,18,36,48,40,5,50
  Failing To Keep A Proper Lookout,37,36,20,41,38,32,41,57,55,8,59
  Following Too Close To Vehicle In Front,0,0,0,0,0,2,1,1,1,6,1
  Overtaking Without Due Care,3,1,1,2,0,1,2,2,1,3,1
  Turning Vehicle & Failing To Give Way To Pedestrian During Green Man,3,2,1,4,3,6,6,1,2,2,4
  Turning Without Due Care,0,2,2,1,3,1,4,1,4,23,2
  Turning Vehicle & Failing To Give Way To Pedestrian During Red Man,0,0,0,0,0,1,0,0,0,0,0
  Failing To Give Way To Pedestrian At Zebra Crossing,1,0,0,1,0,2,0,0,0,0,0
  Skidding Due To Excessive Speed,0,0,0,0,0,4,0,1,1,0,0
  Disobeying Traffic Signs,3,0,2,0,0,1,0,0,0,0,0
  Opening Vehicle Doors Or Causing/Permitting The Opening Of Vehicle Doors,0,0,0,0,0,2,0,0,1,0,0
  Vehicle Sliding Forward/Backward On A Slope,0,0,0,0,0,1,1,1,0,0,0
  Forming Up Incorrectly When Turning,0,0,0,0,0,0,1,1,2,0,0
  Fatigue Or Illness,0,0,0,0,2,0,0,0,1,0,0
  Driving/Riding Against Flow Of Traffic,0,0,1,0,0,0,0,2,1,0,0
  Parking In A Position Likely To Cause Danger,0,0,1,0,0,0,0,0,2,0,0
  Reversing Negligently,0,0,0,0,0,0,1,1,0,0,0
  Parking At Road Shoulder,1,0,0,0,0,0,0,0,0,0,0
  Cycling In A Disorderly Manner,3,2,0,0,3,0,na,na,na,na,na
  Exceeding Road/Vehicle Speed Limit,0,1,0,1,0,2,1,0,1,na,na
  Disobeying Traffic Light Signals Resulting In Accident With Pedestrian,3,1,0,1,1,2,1,0,0,na,na
  Failing To Give Way To Cyclist At Zebra Crossing,1,1,1,1,0,0,na,na,na,na,na
  Cycling Across A Signalised Pedestrian Crossing During Red Man,1,1,0,3,2,0,na,na,na,na,na
  Turning Vehicle & Failing To Give Way To Cyclist During Green Man,0,1,0,0,1,0,na,na,na,na,na
"  Other Causes Attributed To Drivers, Riders Or Pedal Cyclists",1,3,4,3,3,4,5,8,4,1,31
Fatal Accidents Attributed To Pedestrians,23,10,9,26,13,14,17,21,18,25,26
  Carrying Out Work On The Road Without Proper Attire Or Sufficient Warning Signs,0,0,0,0,0,0,0,0,0,0,0
  Crossing Heedless Of Traffic,3,3,4,9,5,6,3,5,6,10,10
  Crossing In Front Or Behind A Vehicle Which Obstructs View,3,1,0,3,0,0,1,3,3,1,2
  Crossing Within Pedestrian Crossing When Red Man Lighted,11,2,3,7,1,4,6,4,2,2,6
  Failing To Use Available Pedestrian Crossing,1,3,2,0,3,2,5,6,0,3,2
  Playing On The Road Or Carpark,0,0,0,0,0,0,0,0,0,0,2
  Under The Influence Of Alcohol,0,0,0,2,0,0,0,1,1,3,1
  Under The Influence Of Drugs/Intoxicated Substance,0,0,0,0,0,0,0,0,1,0,0
  Other Causes Of Accidents Attributed To Pedestrians,5,1,0,3,4,2,2,2,5,6,3
Fatal Accidents Attributed To PMD Users,0,2,0,2,1,1,na,na,na,na,na
  Using PMD To Travel On Road,0,0,0,2,0,0,na,na,na,na,na
  Crossing Within Pedestrian Crossing When Red Man Lighted,0,2,0,0,1,1,na,na,na,na,na
  Crossing Heedless Of Traffic,0,0,0,0,0,0,na,na,na,na,na
  Crossing In Front Or Behind A Vehicle Which Obstructs View,0,0,0,0,0,0,na,na,na,na,na
  Playing On The Road Or Carpark,0,0,0,0,0,0,na,na,na,na,na
  Failing To Use Available Pedestrian Crossing,0,0,0,0,0,0,na,na,na,na,na
  Under The Influence Of Alcohol,0,0,0,0,0,0,na,na,na,na,na
  Other Causes Of Accidents Attributed To Pedestrians,0,0,0,0,0,0,na,na,na,na,na
Fatal Accidents Due To Other Causes,3,5,4,8,0,2,4,2,13,21,30
  Causes Attributed To Road Conditions,0,0,0,3,0,0,1,0,1,3,4
  Causes Attributed To Vehicles,0,0,0,0,0,2,0,1,0,3,3
  Other Causes,3,5,4,5,0,0,3,1,12,15,23
"Injury Accidents Attributed To Drivers, Riders Or Cyclists",5557,5253,4001,4758,4545,4725,6085,6534,6665,6274,6816
  Changing Lane Without Due Care,322,332,213,347,355,411,497,617,569,465,498
  Disobeying Traffic Light Signals Resulting In Accident With Vehicle,121,126,104,142,106,111,112,161,227,208,237
  Driving Under The Influence Of Alcohol,93,140,95,145,152,9,29,56,98,119,115
  Failing To Give Way To Traffic With Right Of Way,539,637,594,620,582,623,882,1038,1040,827,862
  Failing To Have Proper Control,1114,939,726,689,695,745,1058,1163,1336,1180,1237
  Failing To Keep A Proper Lookout,2533,2043,1535,1948,1955,2076,2729,2580,2459,2398,2710
  Following Too Close To Vehicle In Front,100,7,15,39,14,27,10,13,59,56,49
  Overtaking Without Due Care,84,104,48,78,72,72,77,100,100,93,79
  Turning Vehicle & Failing To Give Way To Pedestrian During Green Man,71,93,96,118,86,70,77,71,46,39,36
  Turning Without Due Care,154,192,165,201,167,216,180,145,187,201,185
  Failing To Give Way To Pedestrian At Zebra Crossing,32,49,37,62,38,44,44,50,31,na,na
  Forming Up Incorrectly When Turning,15,8,3,3,2,7,1,0,8,na,na
  Skidding Due To Excessive Speed,2,17,13,22,3,0,0,1,0,na,na
  Disobeying Traffic Signs,25,21,21,17,18,23,26,15,24,na,na
  Disobeying Traffic Light Signals Resulting In Accident With Pedestrian,12,13,15,27,23,10,16,31,33,na,na
  Turning Vehicle & Failing To Give Way To Pedestrian During Red Man,2,3,0,1,9,13,9,14,6,na,na
  Reversing Negligently,14,16,11,10,2,7,7,18,20,na,na
  Fatigue Or Illness,26,14,8,11,5,3,6,6,3,na,na
  Driving/Riding Against Flow Of Traffic,5,9,4,2,5,2,3,7,12,na,na
  Opening Vehicle Doors Or Causing/Permitting The Opening Of Vehicle Doors,16,6,11,18,14,22,32,24,33,na,na
  Turning Vehicle & Failing To Give Way To Cyclist During Green Man,29,42,25,31,17,0,na,na,na,na,na
  Failing To Give Way To Cyclist At Zebra Crossing,78,94,60,32,31,0,na,na,na,na,na
  Cycling Across A Signalised Pedestrian Crossing During Red Man,27,29,25,17,16,0,na,na,na,na,na
  Cycling In A Disorderly Manner,135,137,57,42,46,1,na,na,na,na,na
  Vehicle Sliding Forward/Backward On A Slope,2,1,1,4,4,4,2,3,6,na,na
  Parking At Road Shoulder,1,1,3,1,0,0,0,2,0,na,na
  Using A Mobile Phone While Driving,0,1,0,1,0,0,0,0,0,na,na
  Parking In A Position Likely To Cause Danger,0,4,2,3,0,4,6,7,10,na,na
  Driving Under The Influence Of Drugs/Intoxicated Substances,5,4,5,3,12,2,2,8,5,na,na
  Driving On Road Shoulder,0,1,1,0,1,0,4,0,1,na,na
  Exceeding Road/Vehicle Speed Limit,0,0,0,0,1,0,1,0,0,na,na
  Turning Vehicle & Failing To Give Way To Cyclist During Red Man,0,0,0,0,2,0,na,na,na,na,na
"  Other Causes Of Accidents Attributed To Drivers, Riders Or Pedal Cyclists",0,170,108,124,112,223,275,404,352,688,808
Injury Accidents Attributed To Pedestrians,237,201,211,245,265,289,346,378,426,419,439
  Carrying Out Work On The Road Without Proper Attire Or Sufficient Warning Signs,2,0,2,0,3,0,0,6,0,0,2
  Crossing Heedless Of Traffic,73,49,58,65,55,76,110,139,173,176,162
  Crossing In Front Or Behind A Vehicle Which Obstructs View,31,23,21,37,50,50,44,25,25,32,36
  Crossing Within Pedestrian Crossing When Red Man Lighted,41,34,42,38,47,41,41,43,51,46,63
  Failing To Use Available Pedestrian Crossing,32,39,33,29,38,45,39,39,39,38,42
  Playing On The Road Or Carpark,2,0,2,0,0,1,0,2,2,2,4
  Under The Influence Of Alcohol,3,2,2,3,3,2,3,3,1,3,2
  Under The Influence Of Drugs/Intoxicated Substance,1,2,0,0,0,1,0,0,1,0,0
  Using PMD To Travel On Road,0,0,0,0,0,2,2,na,na,na,na
  Other Causes Of Accidents Attributed To Pedestrians,52,52,51,73,69,71,107,121,134,122,128
Injury Accidents Attributed To PMD Users,30,17,35,85,49,50,na,na,na,na,na
  Using PMD To Travel On Road,10,7,16,30,19,17,na,na,na,na,na
  Crossing Within Pedestrian Crossing When Red Man Lighted,2,2,5,14,9,11,na,na,na,na,na
  Crossing Heedless Of Traffic,5,5,2,11,6,4,na,na,na,na,na
  Crossing In Front Or Behind A Vehicle Which Obstructs View,0,0,1,1,3,2,na,na,na,na,na
  Playing On The Road Or Carpark,1,0,0,1,0,0,na,na,na,na,na
  Failing To Use Available Pedestrian Crossing,1,0,0,0,1,1,na,na,na,na,na
  Under The Influence Of Alcohol,0,0,0,0,1,0,na,na,na,na,na
  Carrying Out Work On The Road Without Proper Attire Or Sufficient Warning Signs,1,0,0,0,0,0,na,na,na,na,na
  Other Causes Of Accidents Attributed To Pedestrians,10,3,11,28,10,15,na,na,na,na,na
Injury Accidents Due To Other Causes,37,35,56,51,58,37,23,60,58,92,80
  Causes Attributed To Road Conditions,9,5,4,2,1,5,0,8,8,13,11
  Causes Attributed To Vehicles,4,9,13,16,8,8,5,10,9,26,17
  Other Causes,24,21,39,33,49,24,18,42,41,53,52
,,,,,,,,,,,
Footnotes:,,,,,,,,,,,
One accident may have multiple causes.,,,,,,,,,,,
Fatal Accidents Attributed To Pedestrians (Number):,,,,,,,,,,,
Pedestrians refer to persons on foot.,,,,,,,,,,,
Injury Accidents Attributed To Pedestrians (Number):,,,,,,,,,,,
Pedestrians refer to persons on foot.,,,,,,,,,,,
,,,,,,,,,,,
Notation:,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,
Notes,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,
,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,
Date generated: 24/05/2024,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,
